refseq	position
Chr_01	332
Chr_01	333
Chr_01	350
Chr_01	408
Chr_01	423
Chr_01	429
Chr_01	513
Chr_01	515
Chr_01	517
Chr_01	571
Chr_01	574
Chr_01	580
Chr_01	589
Chr_01	596
Chr_01	598
Chr_01	605
Chr_01	615
Chr_01	616
Chr_01	628
Chr_01	636
Chr_01	656
Chr_01	676
Chr_01	677
Chr_01	679
Chr_01	685
Chr_01	706
Chr_01	720
Chr_01	736
Chr_01	771
Chr_01	778
Chr_01	792
Chr_01	815
Chr_01	818
Chr_01	821
Chr_01	845
Chr_01	851
Chr_01	860
Chr_01	864
Chr_01	871
Chr_01	872
Chr_01	880
Chr_01	881
Chr_01	882
Chr_01	888
Chr_01	899
Chr_01	906
Chr_01	907
Chr_01	911
Chr_01	918
Chr_01	920
Chr_01	924
Chr_01	930
Chr_01	932
Chr_01	945
Chr_01	965
Chr_01	967
Chr_01	968
Chr_01	974
Chr_01	976
Chr_01	980
Chr_01	981
Chr_01	990
Chr_01	991
Chr_01	992
Chr_01	999
Chr_01	1001
Chr_01	1007
Chr_01	1298
Chr_01	1325
Chr_01	1331
Chr_01	1346
Chr_01	1361
Chr_01	1385
Chr_01	1391
Chr_01	1415
Chr_01	1442
Chr_01	1457
Chr_01	1478
Chr_01	1499
Chr_01	1505
Chr_01	1508
Chr_01	1519
Chr_01	1520
Chr_01	1523
Chr_01	1541
Chr_01	1544
Chr_01	1547
Chr_01	1552
Chr_01	1565
Chr_01	1568
Chr_01	1572
Chr_01	1574
Chr_01	1592
Chr_01	1604
Chr_01	1631
Chr_01	1647
Chr_01	1649
Chr_01	1658
Chr_01	1670
Chr_01	1673
Chr_01	1679
Chr_01	1685
Chr_01	1697
Chr_01	1730
Chr_01	1736
Chr_01	1739
Chr_01	1751
Chr_01	1757
Chr_01	1763
Chr_01	1764
Chr_01	1769
Chr_01	1773
Chr_01	1775
Chr_01	1778
Chr_01	1790
Chr_01	1793
Chr_01	1796
Chr_01	1799
Chr_01	1808
Chr_01	1816
Chr_01	1817
Chr_01	1823
Chr_01	1868
Chr_01	1871
Chr_01	1880
Chr_01	1883
Chr_01	1892
Chr_01	1901
Chr_01	1907
Chr_01	1925
Chr_01	1931
Chr_01	1932
Chr_01	1976
Chr_01	1997
Chr_01	2005
Chr_01	2006
Chr_01	2007
Chr_01	2039
Chr_01	2045
Chr_01	2054
Chr_01	2058
Chr_01	2095
Chr_01	2102
Chr_01	2105
Chr_01	2111
Chr_01	2113
Chr_01	2115
Chr_01	2117
Chr_01	2127
Chr_01	2129
Chr_01	2135
Chr_01	2147
Chr_01	2148
Chr_01	2156
Chr_01	2168
Chr_01	2195
Chr_01	2204
Chr_01	2210
Chr_01	2214
Chr_01	2220
Chr_01	2221
Chr_01	2222
Chr_01	2237
Chr_01	2240
Chr_01	2243
Chr_01	2255
Chr_01	2261
Chr_01	2264
Chr_01	2267
Chr_01	2270
Chr_01	2276
Chr_01	2282
Chr_01	2297
Chr_01	2306
Chr_01	2309
Chr_01	2315
Chr_01	2324
Chr_01	2364
Chr_01	2372
Chr_01	2376
Chr_01	2377
Chr_01	2378
Chr_01	2396
Chr_01	2402
Chr_01	2411
Chr_01	2417
Chr_01	2423
Chr_01	2426
Chr_01	2432
Chr_01	2435
Chr_01	2438
Chr_01	2447
Chr_01	2462
Chr_01	2466
Chr_01	2468
Chr_01	2470
Chr_01	2471
Chr_01	2472
Chr_01	2476
Chr_01	2483
Chr_01	2498
Chr_01	2501
Chr_01	2510
Chr_01	2512
Chr_01	2513
Chr_01	2522
Chr_01	2525
Chr_01	2528
Chr_01	2552
Chr_01	2564
Chr_01	2577
Chr_01	2582
Chr_01	2585
Chr_01	2587
Chr_01	2594
Chr_01	2603
Chr_01	2606
Chr_01	2612
Chr_01	2615
Chr_01	2630
Chr_01	2636
Chr_01	2639
Chr_01	2642
Chr_01	2651
Chr_01	2654
Chr_01	2657
Chr_01	2663
Chr_01	2684
Chr_01	2690
